title,nivel,weather,basic,adventurous,style,fit,color_name
Cloclassic Scarf raising,3,cold,,two,minimal classic,,blue_dark
Cloclassic Scarf raising,3,cold,,two,minimal classic,,brown_beige
Cloclassic Scarf raising,3,cold,,two,minimal classic,,green
Cloclassic Scarf raising,3,cold,,two,minimal classic,,pink_salmon
Clocollage Dress modal,1,warm,false,three,classic,straight,blue_dark
Clocollage Shirt modal ,2,warm,false,two,classic boho,straight,black
Clocollage Top modal ,2,warm,false,three,boho,straight,blue_dark
Clocollages Top modal ,2,warm,false,three,boho,loose,white
Clofirma Dress modal ,1,warm,false,three,boho classic,straight,brown_beige
Clofirma Skirt modal ,1,warm,false,two,boho classic,straight,gray_light
Clofirmamen Dress modal ,1,warm,false,three,boho classic,straight,blue_dark
Clograndjardin Shirt modal ,2,warm,false,three,boho classic,straight,blue_dark
Clogross Scarf raising ,3,cold,,two,boho street,,red
Clogross Scarf raising ,3,cold,,two,boho street,,black
Clogross Scarf raising ,3,cold,,two,boho street,,blue_dark
Clogross Scarf raising ,3,cold,,two,boho street,,black
Clogross Scarf raising ,3,cold,,two,boho street,,brown_beige
Clogross Scarf raising ,3,cold,,two,boho street,,black
Cloimpala Shirt modal,2,warm,false,two,classic,tight,blue_dark
Clojardin Shirt modal,2,warm,false,three,boho classic,loose,blue_light
Clojardin T-shirt modal ,2,warm,false,two,boho casual,loose,brown_ecru
Cloross Jacket lamb,3,cold,false,two,street,straight,green_dark
Cloross Jacket lamb,3,cold,false,two,street,straight,green_khaki
Cloross Jacket lamb,3,cold,false,two,street,straight,yellow_mustand
Clostole Scarf washed,3,cold,,two three,boho classic,,pink_nude
Clostole Scarf washed,3,cold,,two three,boho classic,,pink
Clotopos Scarf boiled ,3,cold,,two three,boho classic,,brown_beige
Clotopos Scarf boiled ,3,cold,,two three,boho classic,,blue_turquoise
Clotopos Scarf boiled ,3,cold,,two three,boho classic,,garnet
Clotopos Scarf boiled ,3,cold,,two three,boho classic,,green
Coated Pant lily ,1,cold,false,three four,night street,tight,brown
Coated Skirt lui ,1,cold,false,three four,classic minimal,tight,brown_beige
Coated Skirt lui ,1,cold,false,three four,classic minimal,tight,black
Coated Skirt lui ,1,cold,false,three four,classic minimal,tight,brown_beige
